X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,City,State,addrtype,addrlocat
-78.840192,35.78012,222 Trailview Drive,Canterbury,2160,1994,3,2,1,Detached,"$311,900","$310,000",0-.25 Acres,8,120,0.9505,"$282,766.00",No,1,2,3,3,NA,Cary,NC,place
-78.760292,35.749347,100 Victoria Station Court,Wellington Place,2557,1988,4,2,1,Detached,"$314,900","$310,000",.26-.5 Acres,11,0,0.991,"$290,679.00",No,1,2,78,78,NA,Cary,NC,place
-78.800507044054,35.8099860441167,412 New Rail Drive,Silver Oaks at Silverton,1811,1994,3,2,1,Detached,"$305,000","$310,000",.26-.5 Acres,8,0,0.957,"$294,813.00",No,1,2,4,4,NA,Cary,NC,place
-78.7741034764242,35.7611753896394,412 Farmington Woods Drive,Kildaire Farms,2916,1974,4,3,1,Detached,"$315,000","$310,000",.26-.5 Acres,10,0,0.9505,"$298,919.00",No,1,2,7,7,NA,Cary,NC,place
-78.8414516098412,35.7651116550079,103 Churchview Street,Weathersby,2768,2005,3,2,1,Attached,"$314,500","$310,000",0-.25 Acres,5,0,1.09,"$279,240.00",No,1,2,102,2,NA,Cary,NC,place
-78.8073544374908,35.8146686042908,2025 Weston Green Loop,Weston Place,2418,2010,3,4,0,Attached,"$315,000","$310,000",0-.25 Acres,8,0,0.95,"$290,054.00",No,1,2,48,48,NA,Cary,NC,place
-78.8862173,35.8006923,4954 Highcroft Drive,Fryars Gate,2288,2014,4,3,1,Attached,"$315,000","$311,000",0-.25 Acres,11,209,0.9845,"$269,422.00",No,1,2,22,22,NA,Cary,NC,highway
-78.8548768313563,35.77894595,361 Luke Meadow Lane,Upchurch Farms,2010,2005,3,2,1,Attached,"$309,900","$311,000",0-.25 Acres,8,0,0.9505,"$274,315.00",No,1,2,6,6,NA,Cary,NC,building
-78.8347551013482,35.7652574032245,111 Kindred Way,Olde Salem,2518,2000,4,2,1,Detached,"$320,000","$313,000",0-.25 Acres,8,0,0.95665,"$325,058.00",No,1,2,41,41,NA,Cary,NC,place
-78.8662956040707,35.785394,103 Parkspring Court,West Park,2123,1990,4,2,1,Detached,"$315,000","$314,900",0-.25 Acres,9,634,0.9845,"$309,027.00",No,1,1,56,56,NA,Cary,NC,building
-78.8081981441985,35.8136894663248,407 Weatherbrook Way,Weston Place,2361,2008,3,2,1,Attached,"$314,900","$314,900",0-.25 Acres,9,0,0.9505,"$292,648.00",No,1,2,7,7,NA,Cary,NC,place
-78.8603614118064,35.7681648,602 Wakehurst Drive,Devereaux,2019,1997,3,2,0,Detached,"$309,900","$315,000",0-.25 Acres,6,0,0.95,"$291,069.00",No,1,2,3,3,NA,Cary,NC,building
-78.840316506332,35.7989212766967,110 Crestpoint Court,Preston,1718,1988,3,2,0,Detached,"$319,900","$315,000",0-.25 Acres,7,0,0.95,"$264,186.00",No,1,2,14,14,NA,Cary,NC,place
-78.8071235934792,35.814765899977,2033 Weston Green Loop,Weston Place,2353,2010,3,3,1,Attached,"$319,000","$315,000",0-.25 Acres,8,120,0.9505,"$291,980.00",No,1,2,10,10,NA,Cary,NC,place
-78.8117535490139,35.7810552492011,125 Antler Point Drive,Trappers Run,1987,1997,4,2,1,Detached,"$300,000","$315,000",.51-.75 Acres,7,0,0.9505,"$242,392.00",No,1,2,3,3,NA,Cary,NC,place
-78.87723025,35.7925015,122 Northcote Drive,Fieldstone Village,2274,1997,3,2,1,Detached,"$315,000","$315,500",.26-.5 Acres,9,0,0.98,"$274,026.00",No,1,2,11,11,NA,Cary,NC,building
-78.8859256,35.808306,5415 Cambridgeshire Loop,Fryars Gate,2507,2016,3,3,1,Attached,"$313,540","$316,540",0-.25 Acres,7,0,0.98,"$315,290.00",Yes,1,2,0,0,NA,Cary,NC,highway
-78.8859256,35.808306,5415 Cambridgeshire Loop,Fryars Gate,2498,2016,3,3,0,Attached,"$316,540","$316,540",0-.25 Acres,7,0,0.98,"$316,000.00",Yes,1,2,20,20,NA,Cary,NC,highway
-78.8963284,35.842348,4236 Vallonia Drive,The Village at Evans Farm,2136,2016,3,2,1,Attached,"$317,118","$316,618",0-.25 Acres,6,0,0.9845,$0.00,Yes,1,1,0,0,NA,Cary,NC,highway
-78.8277365849441,35.771775302583,210 Red Field Street,Oxxford Hunt,2269,1994,4,2,1,Detached,"$315,000","$317,000",0-.25 Acres,8,0,0.958,"$274,573.00",No,1,2,4,4,NA,Cary,NC,place
-78.8963284,35.842348,4254 Vallonia Drive,The Village at Evans Farm,2134,2016,3,2,1,Attached,"$317,352","$317,352",0-.25 Acres,6,0,0.9845,$0.00,Yes,1,1,0,0,NA,Cary,NC,highway
-78.8677077633277,35.8090818761029,2024 Heritage Pines Drive,Heritage Pines,1950,2001,3,2,0,Detached,"$339,000","$317,500",0-.25 Acres,9,270,0.98,"$304,092.00",No,1,2,58,58,NA,Cary,NC,place
-78.791599,35.696669,101 Beckford Road,Cotswold,2680,2001,4,2,1,Detached,"$335,000","$317,500",.26-.5 Acres,12,0,1.033,"$296,335.00",No,1,2,41,41,NA,Cary,NC,place
-78.8148044,35.812575,205 Wildfell Trail,The Creeks at Weston,1850,2016,3,2,1,Attached,"$326,990","$319,990",0-.25 Acres,6,96,0.9845,$0.00,Yes,1,2,164,164,NA,Cary,NC,highway
-78.8756076857336,35.7796306,101 Ashtree Court,Chesney Glen,2468,1994,4,2,1,Detached,"$300,000","$320,000",.26-.5 Acres,8,116,0.9845,"$269,772.00",No,1,2,97,97,NA,Cary,NC,building
-78.7761723811294,35.7501244955441,102 Agassi Court,Wimbledon,2347,1993,3,2,1,Detached,"$325,000","$320,000",0-.25 Acres,9,0,0.9845,"$301,240.00",No,1,2,79,79,NA,Cary,NC,place
-78.7905797716674,35.6897992379626,4405 Reedy Branch Place,Glenmitt Stone,2536,1999,3,2,1,Detached,"$325,000","$320,000",.26-.5 Acres,8,0,0.9505,"$294,636.00",No,1,2,144,54,NA,Cary,NC,place
-78.8963284,35.842348,4133 Vallonia Drive,The Village at Evans Farm,2680,2015,3,3,1,Attached,"$325,000","$320,000",0-.25 Acres,8,0,0.9845,"$333,065.00",No,1,1,77,77,NA,Cary,NC,highway
-78.9067913693067,35.8240394738771,1149 Brookhill Way,Arlington Park at Amberly,2360,2006,4,2,1,Detached,"$319,000","$320,000",0-.25 Acres,10,0,0.9505,"$290,718.00",No,1,2,0,0,NA,Cary,NC,place
-78.918199,35.812405,627 Sealine Drive,Weldon Ridge,2325,2010,3,2,1,Attached,"$323,900","$320,400",0-.25 Acres,7,0,0.985,"$261,420.00",No,1,2,2,2,NA,Cary,NC,place
-78.8148044,35.812575,142 Wildfell Trail,The Creeks at Weston,2008,2016,3,2,1,Attached,"$335,987","$320,490",0-.25 Acres,6,407,0.9845,$0.00,Yes,1,1,98,98,NA,Cary,NC,highway
-78.775266,35.762148,400 Woodland Court,Kildaire Farms,2661,1979,5,3,0,Detached,"$319,900","$321,100",.26-.5 Acres,9,65,0.9575,"$287,084.00",No,1,2,5,5,NA,Cary,NC,place
-78.7850419908599,35.8067231285413,106 Cobalt Drive,Verde Park,2561,1995,4,2,1,Detached,"$335,000","$322,000",0-.25 Acres,8,0,0.95,"$261,262.00",No,1,2,79,79,NA,Cary,NC,place
-78.8137585,35.8131846,406 Talons Rest Way,The Creeks at Weston,1852,2016,3,2,1,Attached,"$324,990","$322,990",0-.25 Acres,6,96,0.9845,$0.00,Yes,1,2,118,118,NA,Cary,NC,highway
-78.9092555361403,35.8398160016375,2329 Pindos Drive,Overlook at Amberly,2225,2013,3,3,1,Detached,"$332,000","$323,000",0-.25 Acres,7,0,0.9845,"$282,860.00",No,1,2,95,95,NA,Cary,NC,place
-78.7737453448939,35.7635536261898,413 Holly Circle,Stoneybrook,2483,1968,5,4,0,Detached,"$329,900","$323,100",.51-.75 Acres,10,0,0.864,"$311,332.00",No,1,2,1,1,NA,Cary,NC,place
-78.8490906271757,35.8143553320054,252 Murray Glen Drive,Westover Park,2290,2007,4,2,1,Attached,"$329,000","$323,809",0-.25 Acres,9,118,0.9505,"$290,780.00",No,1,2,9,9,NA,Cary,NC,place
-78.8963284,35.842348,4228 Vallonia Drive,The Village at Evans Farm,2720,2016,3,3,1,Attached,"$329,990","$324,000",0-.25 Acres,7,0,0.9845,$0.00,Yes,1,1,177,177,NA,Cary,NC,highway
-78.8436805877586,35.8291296456546,306 Lime Creek Court,Twin Lakes,2307,2007,3,2,1,Detached,"$335,000","$324,000",0-.25 Acres,8,0,0.9505,"$320,988.00",No,1,2,44,44,NA,Cary,NC,place
-78.8137585,35.8131846,447 Talons Rest Way,The Creeks at Weston,1909,2016,3,2,1,Attached,"$324,020","$324,160",0-.25 Acres,7,494,0.9845,$0.00,Yes,1,2,0,0,NA,Cary,NC,highway
-78.9095335,35.8313133,607 Balsam Fir Drive,Amberly,2085,2016,4,3,1,Attached,"$339,990","$324,990",0-.25 Acres,7,400,0.9845,"$346,433.00",Yes,1,2,99,99,NA,Cary,NC,highway
-78.834868011681,35.7890630428304,302 Arlington Ridge Road,Arlington Ridge,2405,1989,4,2,1,Detached,"$320,000","$325,000",0-.25 Acres,8,420,0.35,"$289,002.00",No,1,1,16,16,NA,Cary,NC,place
-78.77812925,35.75605325,3010 Leith Meadow Court,Troon at Kildaire,1788,2004,2,2,0,Condo,"$325,000","$325,000",0-.25 Acres,7,0,0.95,"$304,299.00",No,1,2,4,4,NA,Cary,NC,place
-78.8473080810546,35.7997097364746,105 Halpen Drive,Preston Crossing,2172,1993,3,2,1,Detached,"$339,900","$325,000",0-.25 Acres,7,0,0.9845,"$303,736.00",No,0,2,55,55,NA,Cary,NC,place
-78.7822276397769,35.7530975425215,105 Coventry Lane,Wimbledon,2162,1989,3,2,0,Detached,"$349,900","$325,000",0-.25 Acres,8,0,0.9845,"$310,569.00",No,1,2,33,33,NA,Cary,NC,place
-78.8464963540169,35.76963075,201 Sherwood Forest Place,Sherwood Greens,2342,2000,4,2,1,Detached,"$335,000","$325,000",0-.25 Acres,8,0,0.96,"$299,522.00",No,1,2,55,55,NA,Cary,NC,building
-78.7761765371453,35.7499182730374,110 Agassi Court,Wimbledon,1897,1993,3,2,1,Detached,"$325,000","$325,000",0-.25 Acres,7,0,0.9505,"$297,014.00",No,1,2,1,1,NA,Cary,NC,place
-78.8334722477906,35.7821936281615,306 Fairfax Lane,Fairfax,2187,1994,4,2,1,Detached,"$325,000","$325,000",0-.25 Acres,9,0,0.9505,"$308,196.00",No,1,2,8,8,NA,Cary,NC,place
-78.8999306,35.8215381,1660 Cary Reserve Drive,Glencroft Townhomes,1953,2016,3,2,1,Attached,"$319,990","$325,262",0-.25 Acres,7,0,0.9845,$0.00,Yes,0,2,4,4,NA,Cary,NC,highway
