X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Geocode Qu,city,state,addrtype,addrlocat
-78.8693339543774,35.7268061337855,1005 Camden Town Place,Whitehall Manor,2257,2006,3,2,1,Detached,"$350,000","$338,000",0-.25 Acres,10,0,0.99,"$321,859.00",No,1,2,32,32,0.97,NA,Apex,NC,place
-78.822610505479,35.7274163122717,1011 W Abberley Lane,Waterford Green,2621,1989,3,2,2,Detached,"$358,500","$340,000",0-.25 Acres,9,0,0.9805,"$259,944.00",No,1,1,52,52,0.95,NA,Apex,NC,place
-78.883024700391,35.7276814845853,331 Pine Nut Lane,Scotts Mill,2024,2000,3,2,1,Detached,"$330,000","$341,000",.26-.5 Acres,9,0,1.0045,"$265,713.00",No,1,1,1,1,1.03,NA,Apex,NC,place
-78.8272189671987,35.6901441205547,111 Minnifer Court,Miramonte,2701,2005,5,2,1,Detached,"$335,000","$341,000",0-.25 Acres,9,0,1.0045,"$285,957.00",No,1,2,20,20,1.02,NA,Apex,NC,place
-78.8719881227868,35.7322520199054,514 Cameron Glen Drive,Cameron Park,2332,1999,4,2,1,Detached,"$339,000","$342,000",0-.25 Acres,8,0,0.96,"$305,058.00",No,1,2,2,2,1.01,NA,Apex,NC,place
-78.8841111259166,35.7565487869103,2506 Cranswick Place,Walden Creek,2670,1997,4,2,1,Detached,"$349,000","$342,000",.26-.5 Acres,9,0,1.0045,"$315,296.00",No,1,2,7,7,0.98,NA,Apex,NC,place
-78.8650419,35.7461199,1809 Abby Knoll Drive,Haddon Hall,2523,2000,5,2,1,Detached,"$350,000","$343,000",0-.25 Acres,10,0,0.985,"$293,440.00",No,1,2,34,34,0.98,NA,Apex,NC,highway
-78.8909729966265,35.7327657049685,1212 Twelve Oaks Lane,Ashley Downs,2997,2002,4,3,1,Detached,"$350,000","$344,000",.26-.5 Acres,9,0,0.9805,"$278,949.00",No,1,2,4,4,0.98,NA,Apex,NC,place
-78.863099,35.748083,900 Carolina Bell Road,The Orchard Villas,1913,2008,2,2,0,Attached,"$349,900","$344,000",0-.25 Acres,8,0,0.98,"$317,654.00",No,1,2,30,30,0.98,NA,Apex,NC,place
-78.861124839689,35.7484682131526,1513 Orchard Villas Avenue,The Orchard Villas,1862,2009,2,2,0,Attached,"$349,900","$345,000",0-.25 Acres,8,0,0.98,"$317,654.00",No,1,2,32,32,0.99,NA,Apex,NC,place
-78.8324810968645,35.7346283290594,1005 NAPA Place,Vintage Grove,2476,1993,3,2,1,Detached,"$340,000","$345,100",0-.25 Acres,8,0,0.94,"$272,737.00",No,1,2,4,4,1.02,NA,Apex,NC,place
-78.8897315616175,35.7333878206774,2006 Red Deer Court,Ashley Downs,2535,2000,4,2,1,Detached,"$349,900","$346,000",.26-.5 Acres,11,0,0.99,"$262,745.00",No,1,2,21,21,0.99,NA,Apex,NC,place
-78.8291052340368,35.6910401345235,106 Lacuna Woods Lane,Miramonte,2840,2007,5,2,1,Detached,"$350,000","$347,500",0-.25 Acres,11,0,0.9805,"$288,650.00",No,1,2,42,42,0.99,NA,Apex,NC,place
-78.8772976091641,35.7244011229783,420 Magdala Place,Scotts Mill,2579,2001,3,2,1,Detached,"$349,999","$347,500",0-.25 Acres,8,320,0.97,"$309,462.00",No,1,2,12,12,0.99,NA,Apex,NC,place
-78.8789425702582,35.75800305496,2010 Henniker Street,Walden Creek,2281,1998,4,2,1,Detached,"$350,000","$347,625",0-.25 Acres,8,0,1.0045,"$261,260.00",No,1,2,13,13,0.99,NA,Apex,NC,place
-78.8692918587406,35.7346290516398,137 Sharp Top Trail,Peakway Village,2992,2008,4,3,1,Detached,"$350,000","$348,000",0-.25 Acres,10,0,0.9805,"$309,115.00",No,1,2,7,7,0.99,NA,Apex,NC,place
-78.9102934463415,35.7329514463415,3117 Cregler Drive,Woodridge,2727,2001,3,2,1,Detached,"$360,000","$350,000",0-.25 Acres,9,0,0.9805,"$329,607.00",No,1,2,7,7,0.97,NA,Apex,NC,place
-78.8298304791667,35.6920298125,405 October Glory Lane,Miramonte,2789,2007,5,2,1,Detached,"$357,000","$351,500",0-.25 Acres,10,418,0.9805,"$289,433.00",No,1,2,6,6,0.98,NA,Apex,NC,place
-78.8821344887966,35.7552244992531,2322 Colony Woods Drive,Walden Creek,2736,1997,4,2,1,Detached,"$354,900","$351,600",0-.25 Acres,11,0,1.0045,"$315,296.00",No,1,2,103,103,0.99,NA,Apex,NC,place
-78.8776047517807,35.7268027682745,304 Village Loop Drive,Scotts Mill,2862,2003,4,2,1,Detached,"$365,000","$354,000",0-.25 Acres,9,0,0.9805,"$314,301.00",No,1,2,92,92,0.97,NA,Apex,NC,place
-78.861400301672,35.7482901728823,1504 Orchard Villas Avenue,The Orchard Villas,1997,2011,2,2,0,Condo,"$367,500","$355,000",0-.25 Acres,7,0,0.9805,"$322,912.00",No,1,2,5,5,0.97,NA,Apex,NC,place
-78.8469466153846,35.7463668461538,1166 Marker Drive,The Villages of Apex,2709,2013,3,2,1,Detached,"$357,500","$355,000",0-.25 Acres,10,49,0.0088,"$359,555.00",No,1,2,20,20,0.99,NA,Apex,NC,place
-78.8872234433732,35.729665801874,125 Cypress View Way,Scotts Mill,2220,2002,3,2,1,Detached,"$345,000","$355,000",0-.25 Acres,8,1046,0.98,"$312,471.00",No,1,2,3,3,1.03,NA,Apex,NC,place
-78.8711994693878,35.7356497346939,105 Dunvegan Court,Cameron Park,2432,1998,4,2,1,Detached,"$350,000","$355,250",.26-.5 Acres,8,0,0.9805,"$306,546.00",No,1,2,3,3,1.02,NA,Apex,NC,place
-78.8802318611489,35.7277422573918,300 Maple Creek Court,Scotts Mill,2336,1998,4,2,1,Detached,"$365,000","$355,500",0-.25 Acres,8,0,0.9805,"$304,692.00",No,1,2,3,3,0.97,NA,Apex,NC,place
-78.8837238212445,35.7575434952696,2112 Echo Glen Lane,Walden Creek,2465,2000,4,2,1,Detached,"$360,000","$358,000",0-.25 Acres,8,0,0.9805,"$286,961.00",No,1,2,10,10,0.99,NA,Apex,NC,place
