X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Geocode Qu,City,State,addrtype,addrlocat
-78.6726262049821,35.8833470282534,1312 Binley Place,Clandon Forest,1963,1990,3,2,1,Detached,"$339,900","$330,000",.26-.5 Acres,6,0,1.12,"$258,918.00",No,1,1,69,69,0.97,NA,Raleigh,NC,place
-78.679855,35.930874,2601 North Falls Drive,North Falls,2854,1979,3,3,0,Detached,"$338,000","$330,000",1-2.9 Acres,10,0,0.69,"$352,575.00",No,2,2,17,17,0.98,NA,Raleigh,NC,place
-78.6056190003435,35.7818434428639,205 Lord Berkley Road,Longview Gardens,2010,1947,3,3,0,Detached,"$355,000","$330,000",.76-.99 Acres,7,386,1.02,"$239,660.00",No,1,1,30,30,0.93,NA,Raleigh,NC,place
-78.7033008,35.7097569,7505 Penny Road,Not in a Subdivision,2132,1995,3,2,0,Detached,"$330,000","$330,000",1-2.9 Acres,7,0,0.66,"$295,831.00",No,1,2,147,147,1,NA,Raleigh,NC,highway
-78.571898,35.94152,12908 Townfield Drive,Wakefield,3102,2003,4,2,1,Detached,"$349,316","$330,000",.51-.75 Acres,10,0,1.035,"$320,467.00",No,1,2,68,68,0.94,NA,Raleigh,NC,place
-78.6747730833413,35.8639647666555,6104 Bayberry Lane,Valley Estates,2368,1977,4,2,1,Detached,"$326,000","$330,000",.51-.75 Acres,8,0,1.1088,"$275,693.00",No,1,0,2,2,1.01,NA,Raleigh,NC,place
-78.5680335918367,35.9251505918367,2222 Kira Lane,Bedford at Falls River,2221,2005,3,2,1,Detached,"$335,000","$330,000",0-.25 Acres,8,0,1.0188,"$325,746.00",No,1,2,46,46,0.99,NA,Raleigh,NC,place
-78.6778524642857,35.8641628928574,6108 Ivy Ridge Road,Valley Estates,2084,1985,4,2,1,Detached,"$365,000","$331,000",.26-.5 Acres,9,0,1.0355,"$264,069.00",No,1,0,41,41,0.91,NA,Raleigh,NC,place
-78.5631364233334,35.9248955263083,10703 Longholme Way,Bedford at Falls River,3092,2006,4,2,1,Detached,"$334,900","$333,900",0-.25 Acres,10,0,0.9075,"$352,509.00",No,1,2,10,10,1,NA,Raleigh,NC,place
-78.6278241158528,35.84764045,4816 Latimer Road,Lakemont,1586,1966,3,2,0,Detached,"$329,900","$334,000",.26-.5 Acres,7,94,1.02,"$260,213.00",No,1,0,1,1,1.01,NA,Raleigh,NC,building
-78.5659641961443,35.926250749085,2312 St Pauls Square,Bedford,2229,2003,3,2,1,Attached,"$329,900","$334,000",0-.25 Acres,7,487,1.04,"$312,195.00",No,1,1,4,4,1.01,NA,Raleigh,NC,place
-78.6477566824915,35.7933739517884,750 Washington Street,Bishops Park,1530,1985,3,2,0,Condo,"$347,000","$334,000",0-.25 Acres,6,60,1.03,"$300,526.00",No,1,1,132,67,0.96,NA,Raleigh,NC,place
-78.708677,35.904725,4100 Crystal Clay Court,Breeland Park,2497,1996,3,2,1,Detached,"$340,000","$334,500",0-.25 Acres,9,646,1.4593,"$340,665.00",No,1,2,27,27,0.98,NA,Raleigh,NC,place
-78.6516316224132,35.8554723,911 Temple Street,Chestnut Hills,2726,1966,4,3,0,Detached,"$375,000","$334,800",.26-.5 Acres,9,820,1.035,"$334,063.00",No,1,0,46,46,0.89,NA,Raleigh,NC,building
-78.653310973817,35.84701805,4813 Rampart Street,North Hills,1702,1962,3,2,1,Detached,"$335,000","$335,000",.26-.5 Acres,7,0,1.0188,"$341,980.00",No,0,0,0,0,1,NA,Raleigh,NC,building
-78.6320122669732,35.7934297220763,1109 Wake Forest Road,Mordecai Villas,1402,2000,3,2,1,Condo,"$350,000","$335,000",0-.25 Acres,6,0,1.03,"$255,031.00",No,0,1,115,115,0.96,NA,Raleigh,NC,place
-78.7449695872791,35.9220813935514,11817 Radner Way,Harrington Grove,2401,1993,4,2,1,Detached,"$334,900","$335,000",0-.25 Acres,9,0,1.1088,"$260,504.00",No,1,2,0,0,1,NA,Raleigh,NC,place
-78.7964299605952,35.8988200681072,10529 SABLEWOOD Drive,Brier Creek,1752,2015,3,2,1,Condo,"$339,900","$335,000",0-.25 Acres,6,0,1.0188,"$262,124.00",No,1,2,46,46,0.99,NA,Raleigh,NC,place
-78.726772676422,35.7510874125037,5329 Orabelle Court,Silver Lake,2473,2011,4,2,1,Detached,"$329,900","$335,000",0-.25 Acres,9,32,1.0252,"$310,320.00",No,2,2,2,2,1.02,NA,Raleigh,NC,place
-78.5824324263282,35.9123174161651,10105 Hallberg Lane,Falls River,2367,1996,3,2,1,Detached,"$340,000","$335,000",0-.25 Acres,8,0,1.02,"$312,763.00",No,1,2,18,18,0.99,NA,Raleigh,NC,place
