X,Y,,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,City,State,addrtype,addrlocat
-78.897758,35.718234,194,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2069199/0/60/45/8b358387fc336659b208aa9ba09b75c6/2/4efeb09a4a8a275f10c90353dc46876b/2069199.JPG,2069199,CLOSED,015/B,2115 Frissell Avenue,Crocketts Ridge,2185,2002,4,2,1,Detached,"$285,000","$280,000",0-.25 Acres,9,0,0.9545,"$264,197.00",No,1,2,15,15,8/15/2016,0.98,NA,Apex,NC,street_address
-78.890481,35.733914,195,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2055125/0/60/45/f0a86ccc9b4ec98fa310404a85466054/2/dac72c1f7b65facc396336204ec4d759/2055125.JPG,2055125,CLOSED,015/B,1000 Golden Ridge Court,Ashley Downs,2172,2001,3,2,0,Detached,"$275,000","$280,000",0-.25 Acres,8,0,1.045,"$226,818.00",No,1,2,2,2,4/18/2016,1.02,NA,Apex,NC,street_address
-78.886015,35.726069,196,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2065851/0/60/45/6dfa202a431539d418769d8c2e064f26/2/271db32af15a5ae5b76ac8cdc96ba65b/2065851.JPG,2065851,CLOSED,015/B,1005 Scotts Ridge Trail,Scotts Mill,1741,2001,3,2,1,Detached,"$285,000","$280,000",0-.25 Acres,7,0,1.0045,"$264,087.00",No,1,1,8,8,6/17/2016,0.98,NA,Apex,NC,street_address
-78.898441,35.73169,197,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2051817/0/60/45/e007af3cf98b8f871d0b69a1111cf214/2/49e992414052d131eb625544df583fb7/2051817.JPG,2051817,CLOSED,015/B,108 Cranwell Court,Greenbrier,2258,2001,4,2,1,Detached,"$275,000","$280,500",0-.25 Acres,7,0,1.0045,"$237,241.00",No,1,2,3,3,4/21/2016,1.02,NA,Apex,NC,street_address
-78.871371,35.726635,198,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2089078/0/60/45/476df0dfb79afe369498bbf11f8e59d9/2/5ccbbf69fc70b2f8243724cd868eb940/2089078.JPG,2089078,CLOSED,015/B,218 Homegate Circle,Scotts Mill,1738,2003,3,2,1,Detached,"$285,000","$280,500",0-.25 Acres,7,0,0.988,"$255,390.00",No,1,2,23,23,10/31/2016,0.98,NA,Apex,NC,street_address
-78.908941,35.724288,199,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2077829/0/60/45/81f3c07d680511f3b8c1cc88647cbb7a/2/0ba2934503cf10b7fb38f7bf648b2bd3/2077829.JPG,2077829,CLOSED,015/B,508 Piney Woods Lane,Hollands Crossing,2250,1999,4,2,1,Detached,"$272,000","$282,000",0-.25 Acres,8,0,0.98,"$256,471.00",No,1,2,4,4,8/26/2016,1.04,NA,Apex,NC,street_address
-78.882288,35.757351,200,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2068557/0/60/45/4ff63e89c1504def2b85b728f5adce94/2/4a572d68ff1f7fb6600602375f124191/2068557.JPG,2068557,CLOSED,010/A,2205 Oak Stream Lane,Walden Creek,1818,1998,3,2,0,Detached,"$279,900","$282,000",0-.25 Acres,6,0,1,"$256,771.00",No,1,2,1,1,6/29/2016,1.01,Exact Match With Bing,Apex,NC,street_address
-78.899086,35.716907,201,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094718/0/60/45/c8062613171aef0709981cfab648347d/2/33e6a95cdfea0a795654abdde7ae688f/2094718.JPG,2094718,CLOSED,015/B,2407 Brasstown Lane,Crocketts Ridge,1974,2001,3,2,1,Detached,"$279,900","$282,000",0-.25 Acres,8,442,0.874,"$248,470.00",No,1,2,2,2,12/7/2016,1.01,NA,Apex,NC,street_address
-78.910692,35.728521,202,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2067320/0/60/45/c8ac88fcbf221631354ec0cced4bbf9d/2/bd88724b5b9b83b182c39ec76cc8dead/2067320.JPG,2067320,CLOSED,015/B,106 Bergen Avenue,Hollands Crossing,2096,1997,4,2,1,Detached,"$279,700","$282,100",.26-.5 Acres,8,0,1.01,"$223,462.00",No,1,2,4,4,7/20/2016,1.01,NA,Apex,NC,street_address
-78.871819,35.761035,203,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2070867/0/60/45/c58978af985e5ebc9c1378a33bd22274/2/c1ee89e37e59f5b61c7af900867ef22f/2070867.JPG,2070867,CLOSED,010/A,2008 Catskill Court,Charleston Village,1832,1999,3,2,1,Detached,"$280,000","$282,500",0-.25 Acres,8,0,1.0045,"$242,459.00",No,1,1,5,5,7/21/2016,1.01,NA,Apex,NC,street_address
