X,Y,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,city,state,addrtype,addrlocat
-78.9109161830382,35.7215896,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2072053/0/60/45/b1e8ff20760524a34123bf91e53527b4/2/fede3b35cf2068fe149e503c4dd93c36/2072053.JPG,2072053,CLOSED,015/B,411 Blushing Rose Way,Hollands Crossing,1627.0,1998,3,2,1,Detached,"$224,900","$220,000",0-.25 Acres,8,0.0,1.0045,"$218,380.00",No,1,1,79,79,10/20/2016,0.98,NA,Apex,NC,building
-78.8402835522823,35.7247119164736,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2091484/0/60/45/9ed9a261ff5712566dd1ca66fc14c247/2/3d73fd4c492f3192e870caf83cebf1bc/2091484.JPG,2091484,CLOSED,015/C,914 Olive Street,Not in a Subdivision,1280.0,1967,3,2,0,Detached,"$223,000","$220,000",.26-.5 Acres,6,0.0,1.0045,"$238,052.00",No,0,1,36,36,12/12/2016,0.99,NA,Apex,NC,place
-78.8491808097827,35.7390348447194,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2104845/0/60/45/acecc4ed87e41b791fd28aa2df187b40/2/1d0334f644af98b8db376bf6a27af4c2/2104845.JPG,2104845,CLOSED,015/C,103 Tracey Creek Court,Salem Oaks,1226.0,1997,3,2,0,Detached,"$215,000","$221,500",0-.25 Acres,5,0.0,1.0,"$204,305.00",No,1,1,1,1,2/15/2017,1.03,NA,Apex,NC,place
-78.8267459,35.682768,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2098802/0/60/45/fc3c025ccbed6b6b40b17fb9d3d7b036/2/87776d513066ad08070aad59430b9883/2098802.JPG,2098802,CLOSED,009/B,208 Hollyhock Lane,Sunset Hills,1611.0,1998,3,2,1,Detached,"$224,900","$222,000",0-.25 Acres,7,0.0,0.874,"$191,420.00",No,1,2,3,3,12/22/2016,0.99,NA,Apex,NC,highway
-78.8540726103925,35.7173714399868,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2096210/0/60/45/30417a25750965dc9f38b4b80a90b1f4/2/a045789d2740663f31391f29e72ad1be/2096210.JPG,2096210,CLOSED,015/A,833 Shackleton Road,Perry Farms,1351.0,1999,3,2,0,Detached,"$224,500","$225,000",.26-.5 Acres,6,0.0,0.9805,"$198,689.00",No,1,2,4,4,12/1/2016,1.0,NA,Apex,NC,place
-78.877623,35.734953,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2083913/0/60/45/777b005712c63bfac0258978d1561d36/2/fb22c4015379b7d59dc1c99b1bd7108e/2083913.JPG,2083913,CLOSED,015/B,3000 White Cloud Circle,Dogwood Ridge,1828.0,2000,3,2,1,Detached,"$227,000","$225,000",0-.25 Acres,7,0.0,0.98,"$192,190.00",No,1,1,1,1,9/13/2016,0.99,NA,Apex,NC,place
-78.8690380622936,35.7435082644458,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2098874/0/60/45/73a265ae92a2c0868215555af2c1df14/2/7791d39eab23bc62a5702c4c527d4dd5/2098874.JPG,2098874,CLOSED,015/C,1506 Haywards Heath Lane,Haddon Hall,2225.0,2006,3,3,1,Attached,"$234,900","$226,500",0-.25 Acres,7,0.0,0.9805,"$204,803.00",No,0,1,13,13,1/17/2017,0.96,NA,Apex,NC,place
-78.8279070211702,35.6831631481913,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2087021/0/60/45/55f6591ed615e50604eefe48bf85cf3e/2/244fbdc54b2079fc37ddc1d326bf0491/2087021.JPG,2087021,CLOSED,009/B,406 Stonecreek Drive,Sunset Hills,1880.0,1999,4,2,1,Detached,"$225,000","$229,101",0-.25 Acres,8,0.0,0.98,"$198,168.00",No,1,2,3,3,10/17/2016,1.02,NA,Apex,NC,place
-78.8419280204082,35.7314864489796,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2100831/0/60/45/68b50f77d3b274e3ed96b5044248aa27/2/3ea4c23b696ba1b77f34294f292bd577/2100831.JPG,2100831,CLOSED,015/C,402 Old Mill Village Drive,Old Mill Village,2218.0,2008,3,3,1,Attached,"$229,500","$229,500",0-.25 Acres,9,0.0,1.0045,"$222,356.00",No,1,2,3,3,1/26/2017,1.0,NA,Apex,NC,place
-78.8690500830581,35.7435023525944,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2077520/0/60/45/9c1655be3be4a57ca3bcd41d3c71082d/2/213f0449e1ee6deaf70f7d22cc0636bb/2077520.JPG,2077520,CLOSED,015/C,1508 Haywards Heath Lane,Haddon Hall,2456.0,2006,3,3,1,Attached,"$241,900","$229,872",0-.25 Acres,7,0.0,0.98,"$216,445.00",No,1,1,42,42,9/16/2016,0.95,NA,Apex,NC,place
